fb_username,ig_username,brand,cat_1,cat_2,cat_3,cat_4,country,brandID,fb_likes,fb_followers,fb_posts_num,fb_avg_comments_num,fb_avg_likes_num,fb_avg_shares_num,ig_followings,ig_followers,ig_posts,ig_posts_num,ig_avg_comments_num,ig_avg_likes_num,fb_likes_growth,fb_followers_growth,fb_avg_comments_num_growth,fb_avg_likes_num_growth,fb_avg_shares_num_growth,ig_followers_growth,ig_avg_comments_num_growth,ig_avg_likes_num_growth
MAROOMScom,marooms_com,MAROOMS,Home,Eco-Friendly,Kids,M&O Paris Sep 2018,,1317,136.98813981129499,145.968334346151,7.067205865411191,,3.13281870762653,1.07915268471336,471.578659115187,556.286445987093,223.149562439165,26.4679041836134,0.046895493210519,18.715760212571002,0.006523949987606,0.01927830089948,,-0.017724257396169,-0.011838093117221,-0.17420261847395999,-0.009025895473183,-0.067168980863404
,riccsdesigns,Riccs Designs,Lifestyle,Bottles Aug,Design,,,1318,,,,,,,298.0,229.69446127979802,103.11859745214899,6.49595305800286,0.742676999864172,47.6168256287012,,,,,,0.012783895135903998,0.009969366367746,0.082871153075499
taftoys,taftoysuk,Taftoys,Kids,Toy,Siblings,,,1319,24023.1358494462,24091.984017688,1.94774318085714,79.3048651817899,31.159693540844998,2.9104965507872005,301.262456042557,888.679884636456,377.86870891643997,17.910318362872697,0.43751444459827105,14.7154644732983,-0.7216415655465971,-0.516524903910002,0.526576860700228,0.115426973862098,-0.015262810010357002,1.132000220278,0.000653694245237,0.027577427842172993
,luniimaginaire,Lunii,Kids,Tech,Siblings,,,1320,,,,,,,346.21147456635805,37845.4650437027,595.579965895073,57.1425545922084,966.689574843484,789.261651866642,,,,,,15.674191651942198,0.023246532189916,-0.772846766911084
TinyBitz,tiny_bitz,Tinybitz,Kids,Fashion,Siblings,,,1321,1483.1021111689802,1546.14640377602,0.0,,2.34948811900059,1.33365135951157,1014.2786588393401,2564.37897492085,561.0,0.0,10.2884441563914,20.1212300019259,-0.06613975115203201,-0.04087677314894,,-0.070806919046412,0.007154785568669,1.9082309899811598,-0.268444425475367,-0.27718844200233
TreatRepublic,treatrepublic,Treat Republic,Lifestyle,Design,Furniture,,,1322,5188.114230988011,5013.16868393143,,,,,,,,,,,-0.49036572300910397,-0.49333883959479796,,,,,,
,bear,Bear Trader,Lifestyle,Bottles Aug,Home,,,1323,,,,,,,741.3188815821479,1796.8740283497602,627.593847812379,15.797113404717901,3.46828107298092,66.3447788881791,,,,,,0.45488609179971395,-0.004421474241467,-0.081643813494526
POMOHouse,pomo_houseth,POMO,Lifestyle,Kids,Tech,,,1324,3803.4159687463,3873.58688852484,,,,,10.0,12076.8448275918,241.0,8.54545454545455,0.572727272727273,7.3363636363636395,0.284350439116826,0.342493585750863,,,,-0.315965855470128,0.0054391624844679996,0.03759648680318899
zollanvari,zollanvari_carpets,ZOLLANVARI INTERNATIONAL,Décor,Lifestyle,Carpet,M&O Paris Sep 2018,,1325,9734.89358432644,9889.90932385793,12.299091002897999,2.44657693455755,11.9142816666042,1.8011509421740002,1.0,16033.4193903702,896.954574422637,22.5508449959983,8.68160926944258,536.5316981922099,-0.46860607270267407,-0.295174124204914,0.0011743722672960001,0.003863814993712,0.003778533706578,15.869436567047698,0.003953928590098,1.5594086151991102
mirabrands,mirabrands,Mira Brand,Lifestyle,Bottles Aug,Sustainable,,,1326,797.133172314149,844.3971490731551,7.68693783052321,,2.44505763280221,,190.15700394006902,6110.75484894321,217.532446008839,28.399697043519897,154.091639956749,111.512867288248,0.12763105980766698,0.115294015513119,,-0.005732348479836,,8.26372441599551,0.7333754752452489,0.24468880041054897
