,brandID,brand,final_score,fb_score,fb_followers_merged,fb_engagement,ig_score,ig_followers_merged,ig_engagement,fb_followers,fb_followers_growth,fb_followers_merged,fb_avg_comments_num,fb_avg_comments_num_growth,fb_avg_comments_num_merged,fb_avg_likes_num,fb_avg_likes_num_growth,fb_avg_likes_num_merged,fb_avg_shares_num,fb_avg_shares_num_growth,fb_avg_shares_num_merged,ig_followers,ig_followers_growth,ig_followers_merged,ig_avg_comments_num,ig_avg_comments_num_growth,ig_avg_comments_num_merged,ig_avg_likes_num,ig_avg_likes_num_growth,ig_avg_likes_num_merged
333,336.0,Leatherman,0.6521998320219188,,,,0.8822696603931957,0.5616481471507423,0.7662272365043377,,,,,,,,,,,,,0.3907857803521764,0.9980024678643572,0.5616481471507423,0.3948532837980524,0.7573606504837843,0.5190812764286586,0.8362229914774838,0.9999180198462274,0.910773663494672
2666,3038.0,AeroGarden,0.6440581222091449,0.7479876120628027,0.4165591130394352,0.5325222778297682,0.5197463436790353,0.3973566032542607,0.368171086198072,0.2640536830104043,0.9860662542870778,0.4165591130394352,0.9959289665320771,1.0,0.9979603314866478,0.30469404709711073,0.9896404087000332,0.4659345039407816,0.3463458744755847,0.9902599346354696,0.5131990908337591,0.24944036541408904,0.9762878902187991,0.3973566032542607,0.28076606585633684,0.6150803397220646,0.3855430709862454,0.23951360654234266,0.7469829107390372,0.36272316798371856
2300,2420.0,Saje Natural Wellness,0.6396105210525493,0.4245013247242225,0.3860036450651743,0.2515073412324222,0.7987501878494974,0.5208147547665569,0.5203483984808298,0.2693825320522552,0.6806865237503527,0.3860036450651743,0.2547882845545231,0.49303293321190705,0.3359600190461074,0.26988898909973896,0.18727898646926325,0.22112019668439906,0.2493950121073948,0.37552835025614345,0.29973242512357473,0.36798069542238,0.8907867635707382,0.5208147547665569,0.5109017440296706,0.7455162265778184,0.6063038722326854,0.3840022353475873,0.7036993666412421,0.4968681287382962
2587,2912.0,FRITZ HANSEN,0.6225708338976923,0.30633618619900177,0.23013185204928266,0.37705193227583705,0.8254374764118639,0.6598598989650403,0.4536577815749736,0.2678336904260429,0.20173451991149907,0.23013185204928266,0.23356415504815586,0.6216922282861492,0.3395590441162519,0.3115896036340657,0.6373344853700804,0.4185514984390219,0.2535237321681724,0.4251707450226709,0.3176418188432084,0.5022324112703279,0.9616897655412874,0.6598598989650403,0.25712211639091576,0.3171184023643207,0.2839860723836342,0.45000224429409735,0.7642911679436991,0.5664738643932767
1110,1115.0,Public Holiday,0.6060606791228454,0.3960695605155601,0.31260261273731954,0.30148867274131763,0.7600973600734977,0.4608537436599809,0.6389424008273855,0.26143247441445805,0.38867861964940975,0.31260261273731954,0.2324997081913772,0.535503095291991,0.3242287992342295,0.25125650693420026,0.3791659245240517,0.3022351394572759,0.2298495383569864,0.3574628384155661,0.2797920549234906,0.3191548576009549,0.8288462183303625,0.4608537436599809,0.8520149562877005,0.5772421420483204,0.6882161914708096,0.6775878216924135,0.578351550370913,0.6240491792919088
1837,1858.0,BAIJA,0.6029861103446826,0.6735009307084255,0.41412351933577307,0.4239427493891596,0.5230497059287045,0.3496146752308556,0.4365864007464992,0.2628257384441296,0.9759196004758186,0.41412351933577307,0.2402489790990797,1.0,0.3874205633671994,0.2829997410224485,0.9994169507247509,0.4410964705133523,0.2615583805593716,0.9999627641340012,0.4146559767258354,0.25297503637586816,0.5657310282033227,0.3496146752308556,0.6447066457467802,0.9940928483578736,0.7821558014036578,0.2754338836481441,0.6153798824245414,0.3805429987513233
477,482.0,Oli & Carol,0.6014417338518137,0.6469196332935919,0.3953956405610833,0.4234655735224218,0.5522312074635373,0.40455362491003616,0.3872007126714119,0.26172851846079265,0.8080992254573507,0.3953956405610833,0.2838587288296533,0.8346353208862535,0.4236384114574022,0.3223932468437901,0.9029667303341212,0.4751426216070573,0.2541035829611061,0.4290974515085026,0.3191892118618865,0.27673749065836245,0.7517736723308499,0.40455362491003616,0.4573761589961119,0.9793094159691154,0.6235362656237717,0.2669419154332713,0.4826870479274553,0.34376848127887216
2010,2031.0,LUNDHS REAL STONE,0.5969057817418173,0.7726950464120483,0.4138406002989448,0.6253801038793897,0.33990497172577905,0.3775916632056456,0.2594936226580955,0.2620033307028615,0.9842197730324764,0.4138406002989448,0.2591743454432812,0.3882989220611751,0.3108610780161485,0.9558814086445072,1.0,0.9774431153338335,0.4281024428172384,0.9240615168682336,0.5851257753929676,0.2454694756322487,0.8177277917939569,0.3775916632056456,0.2336577397140045,0.2422005180744413,0.2378524473814813,0.2344646164346092,0.3116691418794124,0.26760984719513564
1735,1740.0,Holzkern,0.5933379977633054,0.7637880939604231,0.446922922770636,0.4878256544085438,0.3474589280819249,0.4219407811426848,0.2615984169216199,0.2877767130782928,0.9998717748027242,0.446922922770636,0.40636883097352494,0.3387523760057359,0.3694926563290966,0.4067447676089799,0.9999979887759708,0.5782776526951958,0.27490569028197914,0.9319233761949568,0.4245688907223272,0.3042727314745838,0.6880056424947861,0.4219407811426848,0.2286484755314941,0.08977704330805145,0.1289305214288094,0.3243058015301581,0.5155998386954262,0.39816858215651496
135,136.0,Kongges Sloejd,0.5881169202011528,0.3396717121995611,0.3386950635063717,,0.7592009955111998,0.4649634948579364,0.5958655541355681,0.26183433006535983,0.4794305601881894,0.3386950635063717,,,,,,,,,,0.3097298821752441,0.9321460573200518,0.4649634948579364,0.9450937009095284,0.8658215509214179,0.9037225712911932,0.3891230379022029,0.8563757666452166,0.5351037490941687
