Unnamed: 0,fb_username,ig_username,brand,cat_1,cat_2,cat_3,cat_4,country,brandID,fb_likes,fb_followers,fb_posts_num,fb_avg_comments_num,fb_avg_likes_num,fb_avg_shares_num,ig_followings,ig_followers,ig_posts,ig_posts_num,ig_avg_comments_num,ig_avg_likes_num,fb_likes_growth,fb_followers_growth,fb_avg_comments_num_growth,fb_avg_likes_num_growth,fb_avg_shares_num_growth,ig_followers_growth,ig_avg_comments_num_growth,ig_avg_likes_num_growth
3051,skagerakdenmark,skagerak_denmark,Skagerak,Furniture,Tableware,Accessories,,,3052,9772.69446401109,9991.54366126207,28.9824412515876,5.77458656072009,32.6517297838637,2.03814971373691,1185.68741262189,71459.6565689038,1921.31751560202,108.031293498275,5.24175127853957,567.643750153245,3.22642753649776,4.49654245089196,-0.007470903896185,0.039527804579029,-0.024359993435634,61.2247938010073,-0.042625685744741,0.995728587139062
3052,silkenfavours,silkenfavours,Silken Favours,Home,Cushions,Accessories,,,3053,,,,,,,,,,,,,,,,,,,,
3053,fourjei,fourjei,fourjei,Lifestyle,Eco-Friendly,Malaysia,Sino Project,MY,3054,,,,,,,,,,,,,,,,,,,,
3055,LEGOHongKong,lego,LEGO,Toy,Kids,Denmark,Sino Project,DK,3056,,,,,,,,,,,,,,,,,,,,
3056,cocoluxaustralia,cocolux_australia,Cocolux Australia,Fragrance,Candles,,,,3057,2361.90616212756,2446.55347571122,0.545168736580664,0.398142117960098,5.18395107961665,1,2149.83652048694,19936.6080492286,1054.01007572349,1.36372722331151,5.08864005059647,82.2433476950125,0.015004451990711,0.038810016964414,-2.09E-05,5.98E-05,-7.87E-19,1.73990577388819,0.149544757659653,0.077431869407213
3058,toonecosmetics,toonecosmetics,to/one,Skincare,Beauty,,,,3059,213.234712119945,247.1133979873,22.2888509602457,,2.03763904964377,1,1,96489.2390282573,184.991292168574,41.2242880475551,0.617747657652279,936.551825530932,0.265242816515647,0.319142470862301,,-0.001435422031005,-1.91E-21,186.322451935433,0.001560937129145,0.733365144285138
3059,chana,chana,Chana Pottery Studio,Design,Lifestyle,Thailand,Sino Project,TH,3060,,,,,,,,,,,,,,,,,,,,
3066,waamcosmetics,waamcosmetics,WAAM Cosmetics,Skincare,Beauty,,,,3067,15431.4799960995,15665.9683283835,58.1167918154059,1.60079071237277,6.41898844670567,1.66478970441576,541.292204635891,61262.9662098991,544.072850884867,61.6923532757817,-35.0389096716252,403.588554856693,24.3417717567602,25.8497404705157,-0.000337720673294,0.020008542848485,-0.016059203494377,141.407611251955,0.031866061951294,0.776511564303358
3069,andreesorant,andreesorant,Andrée Sorant,Home,Accessories,,,,3070,,,,,,,,,,,,,,,,,,,,
3072,cosnori,cosnori_official,Cosnori,Skincare,Lifestyle,South Korea,Sino Project,,3073,,,,,,,,,,,,,,,,,,,,
